10:54:13:865 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:866 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:866 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:866 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:866 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:866 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:867 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:868 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:868 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:868 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:868 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:868 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:868 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:868 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:868 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:868 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:868 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:868 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:868 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:868 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:868 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:868 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:868 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:868 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:868 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:868 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:868 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:869 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:869 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:869 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:869 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:869 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:869 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:869 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:869 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:869 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:869 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:869 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:869 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:869 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:869 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:869 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:869 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:869 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:869 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:869 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:869 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:870 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:870 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:870 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:870 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:870 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:870 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:870 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:870 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:870 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:870 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:870 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:870 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:870 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:870 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:870 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:870 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:870 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:870 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:870 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:870 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:871 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:875 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:877 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:877 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:877 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:877 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:878 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:883 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:883 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:883 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:883 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:883 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:883 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:883 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:883 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:883 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:883 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:883 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:883 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:883 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:883 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:883 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:883 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:883 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:883 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:883 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:883 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
10:54:13:884 -> 4=0.00, PA3=6.00, PA2=0.00, PA1=0.00, PA0=0.00
