18:00:12:881 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:883 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:883 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:883 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:883 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:883 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:883 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:883 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:883 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:883 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:883 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:883 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:883 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:883 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:883 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:883 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:883 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:883 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:883 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:884 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:884 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:884 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:884 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:884 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:884 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:884 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:884 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:884 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:884 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:884 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:884 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:884 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:884 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:884 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:884 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:884 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:884 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:884 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:884 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:884 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:884 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:885 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:885 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:885 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:885 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:885 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:885 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:885 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:885 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:885 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:885 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:885 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:885 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:885 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:885 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:885 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:885 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:885 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:885 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:885 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:885 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:885 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:886 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:886 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:886 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:886 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:886 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:886 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:886 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:886 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:886 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:886 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:886 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:886 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:886 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:886 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:886 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:886 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:886 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:886 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:886 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:886 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:887 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:887 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:889 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:890 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:890 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:890 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:890 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:890 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:890 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:890 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:890 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:890 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:890 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:890 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:890 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:890 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:890 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:890 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:890 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:890 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:890 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:890 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:890 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:890 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:891 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:891 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:891 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:891 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:891 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:891 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:891 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:891 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:891 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:892 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:893 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:893 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:893 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:893 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:893 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:893 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:893 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:893 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:893 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:893 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:893 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:893 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:893 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:893 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:893 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:893 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:893 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:893 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:893 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:894 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:898 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
18:00:12:901 -> A3=15.66, PA2=0.04, PA1=0.03, PA0=0.01
